id	name	region	coordinates	time_period_start	time_period_end	time_period_label	predecessor_culture_ids	successor_culture_ids	description	confidence	sources	wikidata_qid	source_url	retrieved_at
a-group-culture	A-Group culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q277797	http://www.wikidata.org/entity/Q277797	2026-07-08T10:47:54.206Z
abashevo-culture	Abashevo culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q305628	http://www.wikidata.org/entity/Q305628	2026-07-08T10:47:54.206Z
abbevillian	Abbevillian								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q306350	http://www.wikidata.org/entity/Q306350	2026-07-08T10:47:54.206Z
acheulean	Acheulean						["oldowan"]	["mousterian"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q210774	http://www.wikidata.org/entity/Q210774	2026-07-08T10:47:54.206Z
adena-culture	Adena culture		{"lat":38.0725,"lng":-83.950833333}						Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q355841	http://www.wikidata.org/entity/Q355841	2026-07-08T10:47:54.206Z
aegean-civilization	Aegean civilization								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q192530	http://www.wikidata.org/entity/Q192530	2026-07-08T10:47:54.206Z
afanasevo-culture	Afanasevo culture							["andronovo-culture","okunev-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q80974	http://www.wikidata.org/entity/Q80974	2026-07-08T10:47:54.206Z
ahrensburg-culture	Ahrensburg culture						["creswellian-culture"]	["fosna-hensbacka-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q402743	http://www.wikidata.org/entity/Q402743	2026-07-08T10:47:54.206Z
amratian-culture	Amratian culture							["gerzeh-culture"]	Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q962354	http://www.wikidata.org/entity/Q962354	2026-07-08T10:47:54.206Z
anau-namazga-culture	Anau Namazga culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q12818208	http://www.wikidata.org/entity/Q12818208	2026-07-08T10:47:54.206Z
ancestral-puebloans-culture	Ancestral Puebloans								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q478805	http://www.wikidata.org/entity/Q478805	2026-07-08T10:47:54.206Z
andronovo-culture	Andronovo culture		{"lat":55.883333,"lng":55.7}				["afanasevo-culture","corded-ware-culture","seima-turbino-culture"]		Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q459376	http://www.wikidata.org/entity/Q459376	2026-07-08T10:47:54.206Z
apennine-culture	Apennine culture								Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q2569017	http://www.wikidata.org/entity/Q2569017	2026-07-08T10:47:54.206Z
argaric-culture	Argaric culture		{"lat":37.2521,"lng":-1.9175}						Archaeological culture recorded in Wikidata.	80	["Wikidata"]	Q13409799	http://www.wikidata.org/entity/Q13409799	2026-07-08T10:47:54.206Z
