id	name	coordinates	site_type	time_period_start	time_period_end	time_period_label	description	confidence	sources	wikidata_qid	source_url	retrieved_at
abdah	Abdah	{"lat":30.795,"lng":34.775}					Archaeological site in Israel.	90	["Wikidata"]	Q791665	http://www.wikidata.org/entity/Q791665	2026-07-08T10:31:36.248Z
abu-mena	Abu Mena	{"lat":30.84105,"lng":29.66349}					Archaeological site in Egypt.	90	["Wikidata"]	Q9278	http://www.wikidata.org/entity/Q9278	2026-07-08T10:31:36.248Z
abu-rawash	Abu Rawash	{"lat":30.032222222,"lng":31.074722222}					Archaeological site in Egypt.	90	["Wikidata"]	Q335278	http://www.wikidata.org/entity/Q335278	2026-07-08T10:31:36.248Z
abusir	Abusir	{"lat":29.896111111,"lng":31.203611111}					Archaeological site in Egypt.	90	["Wikidata"]	Q336098	http://www.wikidata.org/entity/Q336098	2026-07-08T10:31:36.248Z
acrocorinth	Acrocorinth	{"lat":37.89142,"lng":22.870921}		-700		Founded 700 BCE	Archaeological site in Greece.	90	["Wikidata"]	Q420810	http://www.wikidata.org/entity/Q420810	2026-07-08T10:31:36.248Z
adab	Adab	{"lat":31.95,"lng":45.966667}					Archaeological site in Iraq.	90	["Wikidata"]	Q346445	http://www.wikidata.org/entity/Q346445	2026-07-08T10:31:36.248Z
aelia-capitolina	Aelia Capitolina	{"lat":31.775689,"lng":35.23104}					Archaeological site in Israel.	90	["Wikidata"]	Q1250874	http://www.wikidata.org/entity/Q1250874	2026-07-08T10:31:36.248Z
ai-khanoum	Ai-Khanoum	{"lat":37.166388888,"lng":69.410833333}					Archaeological site in Afghanistan.	90	["Wikidata"]	Q857845	http://www.wikidata.org/entity/Q857845	2026-07-08T10:31:36.248Z
ajloun	Ajloun	{"lat":32.3325,"lng":35.751666666}					Archaeological site in Jordan.	90	["Wikidata"]	Q1141858	http://www.wikidata.org/entity/Q1141858	2026-07-08T10:31:36.248Z
akhmim	Akhmim	{"lat":26.564166666,"lng":31.746111111}					Archaeological site in Egypt.	90	["Wikidata"]	Q340572	http://www.wikidata.org/entity/Q340572	2026-07-08T10:31:36.248Z
al-hirah	Al-Hirah	{"lat":31.98,"lng":44.39}					Archaeological site in Iraq.	90	["Wikidata"]	Q310799	http://www.wikidata.org/entity/Q310799	2026-07-08T10:31:36.248Z
al-khazneh	Al Khazneh	{"lat":30.32206,"lng":35.45145}		100		Founded 100 CE	Archaeological site in Jordan.	90	["Wikidata"]	Q1259626	http://www.wikidata.org/entity/Q1259626	2026-07-08T10:31:36.248Z
al-maghtas	Al Maghtas	{"lat":31.837222222,"lng":35.550277777}					Archaeological site in Jordan.	90	["Wikidata"]	Q12193567	http://www.wikidata.org/entity/Q12193567	2026-07-08T10:31:36.248Z
alacahoyuk	Alacahöyük	{"lat":40.233895,"lng":34.695575}					Archaeological site in Turkey.	90	["Wikidata"]	Q558861	http://www.wikidata.org/entity/Q558861	2026-07-08T10:31:36.248Z
alesia	Alesia	{"lat":47.539166666,"lng":4.500555555}					Archaeological site in France.	90	["Wikidata"]	Q835966	http://www.wikidata.org/entity/Q835966	2026-07-08T10:31:36.248Z
alodia	Alodia	{"lat":17.65,"lng":33.983333}		600		Founded 600 CE	Archaeological site in Sudan.	90	["Wikidata"]	Q449639	http://www.wikidata.org/entity/Q449639	2026-07-08T10:31:36.248Z
amarna	Amarna	{"lat":27.661666666,"lng":30.905555555}		-1352		Founded 1352 BCE	Archaeological site in Egypt.	90	["Wikidata"]	Q5736	http://www.wikidata.org/entity/Q5736	2026-07-08T10:31:36.248Z
ambohimanga	Ambohimanga	{"lat":-18.759167,"lng":47.562778}					Archaeological site in Madagascar.	90	["Wikidata"]	Q458167	http://www.wikidata.org/entity/Q458167	2026-07-08T10:31:36.248Z
amphitheater-of-nimes	Amphitheater of Nîmes	{"lat":43.83489,"lng":4.35963}		90		Founded 90 CE	Archaeological site in France.	90	["Wikidata"]	Q179656	http://www.wikidata.org/entity/Q179656	2026-07-08T10:31:36.248Z
ancient-abdera	Ancient Abdera	{"lat":40.933714,"lng":24.973299}		-700		Founded 700 BCE	Archaeological site in Greece.	90	["Wikidata"]	Q132527193	http://www.wikidata.org/entity/Q132527193	2026-07-08T10:31:36.248Z
ancient-agora-of-athens	Ancient Agora of Athens	{"lat":37.975,"lng":23.7225}					Archaeological site in Greece.	90	["Wikidata"]	Q395367	http://www.wikidata.org/entity/Q395367	2026-07-08T10:31:36.248Z
