id	name	wikidata_qid	wikidata_class	source_url	retrieved_at	confidence	sources
ancient-crete	Ancient Crete	Q4752820	ancient-civilization	http://www.wikidata.org/entity/Q4752820	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
ancient-india	Ancient India	Q3149991	ancient-civilization	http://www.wikidata.org/entity/Q3149991	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
ancient-israel-and-judah	ancient Israel and Judah	Q193748	ancient-civilization	http://www.wikidata.org/entity/Q193748	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
ancient-shu-civilization	Ancient Shu civilization	Q10913560	ancient-civilization	http://www.wikidata.org/entity/Q10913560	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
babylonia	Babylonia	Q47690	ancient-civilization	http://www.wikidata.org/entity/Q47690	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
china	China	Q29520	ancient-civilization	http://www.wikidata.org/entity/Q29520	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
chinese-civilization	Chinese civilization	Q25558247	ancient-civilization	http://www.wikidata.org/entity/Q25558247	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
dacia	Dacia	Q173082	ancient-civilization	http://www.wikidata.org/entity/Q173082	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
elam	Elam	Q128904	ancient-civilization	http://www.wikidata.org/entity/Q128904	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
gaelic-ireland	Gaelic Ireland	Q3327860	ancient-civilization	http://www.wikidata.org/entity/Q3327860	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
gaul	Gaul	Q38060	ancient-civilization	http://www.wikidata.org/entity/Q38060	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
gojoseon	Gojoseon	Q28405	ancient-civilization	http://www.wikidata.org/entity/Q28405	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
huaxia	Huaxia	Q2673403	ancient-civilization	http://www.wikidata.org/entity/Q2673403	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
illyria	Illyria	Q32047	ancient-civilization	http://www.wikidata.org/entity/Q32047	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
late-shang	Late Shang	Q126325593	ancient-civilization	http://www.wikidata.org/entity/Q126325593	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
mari	Mari	Q244762	ancient-civilization	http://www.wikidata.org/entity/Q244762	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
mesopotamia	Mesopotamia	Q11767	ancient-civilization	http://www.wikidata.org/entity/Q11767	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
teotihuacan-civilization	Teotihuacan civilization	Q116795888	ancient-civilization	http://www.wikidata.org/entity/Q116795888	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
thrace	Thrace	Q41741	ancient-civilization	http://www.wikidata.org/entity/Q41741	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
thracian	Thracian	Q99304188	ancient-civilization	http://www.wikidata.org/entity/Q99304188	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
turco-mongol	Turco-Mongol	Q768212	ancient-civilization	http://www.wikidata.org/entity/Q768212	2026-07-08T04:56:01.068765+00:00	1.0	["Wikidata"]
ancestral-puebloans	Ancestral Puebloans	Q478805	civilization	http://www.wikidata.org/entity/Q478805	2026-07-08T04:55:55.352298+00:00	1.0	["Wikidata"]
andean-civilizations	Andean civilizations	Q3122657	civilization	http://www.wikidata.org/entity/Q3122657	2026-07-08T04:55:55.352298+00:00	1.0	["Wikidata"]
bactriamargiana-archaeological-complex	Bactria–Margiana Archaeological Complex	Q1054850	civilization	http://www.wikidata.org/entity/Q1054850	2026-07-08T04:55:55.352298+00:00	1.0	["Wikidata"]
bronze-age-india	Bronze Age India	Q4974228	civilization	http://www.wikidata.org/entity/Q4974228	2026-07-08T04:55:55.352298+00:00	1.0	["Wikidata"]
calabri	Calabri	Q108314400	civilization	http://www.wikidata.org/entity/Q108314400	2026-07-08T04:55:55.352298+00:00	1.0	["Wikidata"]
canaan	Canaan	Q163329	civilization	http://www.wikidata.org/entity/Q163329	2026-07-08T04:55:55.352298+00:00	1.0	["Wikidata"]
caralsupe-civilization	Caral–Supe civilization	Q153836	civilization	http://www.wikidata.org/entity/Q153836	2026-07-08T04:55:55.352298+00:00	1.0	["Wikidata"]
carduchii	Carduchii	Q110196443	civilization	http://www.wikidata.org/entity/Q110196443	2026-07-08T04:55:55.352298+00:00	1.0	["Wikidata"]
