id	name	native_name	region	coordinates	time_origin	time_end	associated_language_ids	dance_type	associated_music_tradition_ids	costumes	key_movements	cultural_significance	description	wikidata_qid	source_url	retrieved_at	confidence	sources
alunelul	Alunelul							folk					type of dance	Q2840545	http://www.wikidata.org/entity/Q2840545	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
angloise	Angloise							folk					English country dance	Q4763716	http://www.wikidata.org/entity/Q4763716	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
awa-dance-festival	Awa Dance Festival		Japan	{"lat":35,"lng":136}				folk					type of dance	Q1185363	http://www.wikidata.org/entity/Q1185363	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
bacha-nagma	Bacha Nagma							folk					type of dance	Q85744741	http://www.wikidata.org/entity/Q85744741	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
borborbor	Borborbor							folk					Ghanaian and Togolese traditional dance	Q4944382	http://www.wikidata.org/entity/Q4944382	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
chaap	Chaap							folk					baloch folk dance	Q111317655	http://www.wikidata.org/entity/Q111317655	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
chapelloise	Chapelloise							folk					dance	Q1062722	http://www.wikidata.org/entity/Q1062722	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
chumak	chumak							folk					type of dance	Q5116137	http://www.wikidata.org/entity/Q5116137	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
circassian-circle	Circassian circle							folk					type of dance	Q2533237	http://www.wikidata.org/entity/Q2533237	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
clogging	clogging		United States	{"lat":39.828175,"lng":-98.5795}				folk					North American fast-footwork folk dance	Q488656	http://www.wikidata.org/entity/Q488656	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
cocolo	cocolo		Dominican Republic	{"lat":18.8,"lng":-70.2}				folk					folk dance from the Dominican Republic	Q22092272	http://www.wikidata.org/entity/Q22092272	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
combat-hopak	combat hopak		Ukraine	{"lat":49,"lng":32}				folk					type of dance	Q4090105	http://www.wikidata.org/entity/Q4090105	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
contra-dance	contra dance		France	{"lat":47,"lng":2}				folk					folk dance with mixed European origins, featuring long lines of couples	Q747339	http://www.wikidata.org/entity/Q747339	2026-07-08T11:21:54.802Z	0.8	["Wikidata"]
