id	endangerment_status	range_geojson	wikidata_qid	source_url	retrieved_at	confidence	sources
aap	vulnerable		Q56807	http://www.wikidata.org/entity/Q56807	2026-07-08T11:44:14.709Z	0.9	["UNESCO Atlas of the World's Languages in Danger (via Wikidata P1999)","UNESCO Atlas language id 1665"]
aau	vulnerable		Q3073568	http://www.wikidata.org/entity/Q3073568	2026-07-08T11:44:14.709Z	0.9	["UNESCO Atlas of the World's Languages in Danger (via Wikidata P1999)"]
abk	vulnerable		Q5111	http://www.wikidata.org/entity/Q5111	2026-07-08T11:44:14.709Z	0.9	["UNESCO Atlas of the World's Languages in Danger (via Wikidata P1999)","UNESCO Atlas language id 1076"]
aca	severely endangered		Q2822982	http://www.wikidata.org/entity/Q2822982	2026-07-08T11:44:14.709Z	0.9	["UNESCO Atlas of the World's Languages in Danger (via Wikidata P1999)","UNESCO Atlas language id 284"]
ace	safe		Q27683	http://www.wikidata.org/entity/Q27683	2026-07-08T11:44:14.709Z	0.9	["UNESCO Atlas of the World's Languages in Danger (via Wikidata P1999)"]
acr	vulnerable		Q34774	http://www.wikidata.org/entity/Q34774	2026-07-08T11:44:14.709Z	0.9	["UNESCO Atlas of the World's Languages in Danger (via Wikidata P1999)","UNESCO Atlas language id 1777"]
acu	definitely endangered		Q2823170	http://www.wikidata.org/entity/Q2823170	2026-07-08T11:44:14.709Z	0.9	["UNESCO Atlas of the World's Languages in Danger (via Wikidata P1999)","UNESCO Atlas language id 566"]
ady	vulnerable		Q27776	http://www.wikidata.org/entity/Q27776	2026-07-08T11:44:14.709Z	0.9	["UNESCO Atlas of the World's Languages in Danger (via Wikidata P1999)","UNESCO Atlas language id 1064"]
agr	vulnerable		Q1526530	http://www.wikidata.org/entity/Q1526530	2026-07-08T11:44:14.709Z	0.9	["UNESCO Atlas of the World's Languages in Danger (via Wikidata P1999)","UNESCO Atlas language id 734"]
agx	definitely endangered		Q36498	http://www.wikidata.org/entity/Q36498	2026-07-08T11:44:14.709Z	0.9	["UNESCO Atlas of the World's Languages in Danger (via Wikidata P1999)","UNESCO Atlas language id 1035"]
aht	critically endangered		Q21058	http://www.wikidata.org/entity/Q21058	2026-07-08T11:44:14.709Z	0.9	["UNESCO Atlas of the World's Languages in Danger (via Wikidata P1999)","UNESCO Atlas language id 144"]
