id	glottocode	source_url	retrieved_at	confidence	sources
aap	para1310				
aau	abau1245				
abk	abkh1244				
aca	acha1250				
ace	achi1257				
acr	achi1256				
acu	achu1248				
ady	adyg1241				
agr	agua1253				
agx	aghu1253				
aht	ahte1237				
ain	ainu1252				
ake	akaw1239				
akq	akkk1240				
akz	alab1237				
ale	aleu1260				
alt	sout2694				
amc	amah1246				
ame	yane1238				
amh	amha1245				
ami	amis1246				
anq	jara1245				
aoc	pemo1248				
aon	bumb1241				
ape	buki1249				
apj	jica1244				
apk	kiow1264				
apl	lipa1241				
apm	mesc1238				
apw	west2615				
apy	apal1257				
aqc	arch1244				
aqz	akun1241				
arh	arhu1242				
ari	arik1262				
ark	arik1265				
arn	mapu1245				
arp	arap1274				
arr	karo1305				
arw	araw1276				
atr	waim1253				
ats	gros1243				
ava	avar1256				
awa	awad1243				
awe	awet1244				
ayo	zamu1245				
aze	azer1255				
azj	nort2697	https://glottolog.org/resource/languoid/id/nort2697	2026-07-12T17:55:31.537Z	0.9	["Glottolog (glottocode joined via the LexiBank/CLDF words.tsv Glottocode column)"]
bak	bash1264				
bbl	bats1242				
bck	buna1275				
bdy	band1339				
bea	beav1236				
bel	bela1254				
ben	beng1280	https://glottolog.org/resource/languoid/id/beng1280	2026-07-12T17:55:31.537Z	0.9	["Glottolog (glottocode joined via the LexiBank/CLDF words.tsv Glottocode column)"]
bkq	baka1277				
bla	siks1238				
blc	bell1243				
bor	boro1282				
bre	bret1244				
brg	baur1253				
brh	brah1256				
brn	boru1252				
brx	bodo1269				
bsk	buru1296				
bsn	bara1380				
bua	buri1258				
buh	youn1235				
bul	bulg1262				
bwi	bani1255				
bzd	brib1243				
caa	chor1273				
cac	chuj1250				
cad	cadd1256				
cag	niva1238				
cak	kaqc1270				
cao	chac1251				
caq	carn1240				
car	gali1262				
cat	stan1289	https://glottolog.org/resource/languoid/id/stan1289	2026-07-12T17:55:31.537Z	0.9	["Glottolog (glottocode joined via the LexiBank/CLDF words.tsv Glottocode column)"]
cay	cayu1261				
cbg	chim1309				
cbi	chac1249				
cbn	nyah1250				
cbr	cash1251				
cbs	cash1254				
cea	lowe1427				
ceb	cebu1242				
ceg	cham1315				
ces	czec1258	https://glottolog.org/resource/languoid/id/czec1258	2026-07-12T17:55:31.537Z	0.9	["Glottolog (glottocode joined via the LexiBank/CLDF words.tsv Glottocode column)"]
