file	node	id	name	status	wikidata_qid	candidate_count	candidates
archaeological-cultures.tsv	archaeological-culture	ban-chiang	Ban Chiang	none		0	
archaeological-cultures.tsv	archaeological-culture	bell-beaker	Bell Beaker	none		0	
archaeological-cultures.tsv	archaeological-culture	caral-supe	Caral-Supe	none		0	
archaeological-cultures.tsv	archaeological-culture	catalhoyuk	Catalhoyuk Culture	none		0	
archaeological-cultures.tsv	archaeological-culture	clovis	Clovis	none		0	
archaeological-cultures.tsv	archaeological-culture	corded-ware	Corded Ware	none		0	
archaeological-cultures.tsv	archaeological-culture	cucuteni-trypillia	Cucuteni-Trypillia	none		0	
archaeological-cultures.tsv	archaeological-culture	folsom	Folsom	none		0	
archaeological-cultures.tsv	archaeological-culture	funnel-beaker	Funnel Beaker (TRB)	none		0	
archaeological-cultures.tsv	archaeological-culture	gobekli-tepe	Gobekli Tepe Builders	none		0	
archaeological-cultures.tsv	archaeological-culture	indus-valley	Indus Valley (Harappan)	none		0	
archaeological-cultures.tsv	archaeological-culture	jomon	Jomon	none		0	
archaeological-cultures.tsv	archaeological-culture	kerma	Kerma	none		0	
archaeological-cultures.tsv	archaeological-culture	lapita	Lapita	accepted	Q1021436	1	Q1021436
archaeological-cultures.tsv	archaeological-culture	linearbandk	Linear Pottery (LBK)	none		0	
archaeological-cultures.tsv	archaeological-culture	longshan	Longshan	none		0	
archaeological-cultures.tsv	archaeological-culture	mehrgarh	Mehrgarh	none		0	
archaeological-cultures.tsv	archaeological-culture	natufian	Natufian	none		0	
archaeological-cultures.tsv	archaeological-culture	nok	Nok	none		0	
archaeological-cultures.tsv	archaeological-culture	olmec	Olmec	none		0	
archaeological-cultures.tsv	archaeological-culture	ppna	Pre-Pottery Neolithic A	accepted	Q1047444	1	Q1047444
archaeological-cultures.tsv	archaeological-culture	ppnb	Pre-Pottery Neolithic B	accepted	Q897323	1	Q897323
archaeological-cultures.tsv	archaeological-culture	ubaid	Ubaid	none		0	
archaeological-cultures.tsv	archaeological-culture	uruk	Uruk	none		0	
archaeological-cultures.tsv	archaeological-culture	vincha	Vinca	none		0	
archaeological-cultures.tsv	archaeological-culture	yamnaya	Yamnaya	none		0	
archaeological-cultures.tsv	archaeological-culture	yangshao	Yangshao	none		0	
archaeological-sites.tsv	place	abu-simbel-site	Abu Simbel	accepted	Q134140	1	Q134140
archaeological-sites.tsv	place	ajanta-caves	Ajanta Caves	none		0	
archaeological-sites.tsv	place	akrotiri-site	Akrotiri	accepted	Q421232	1	Q421232
archaeological-sites.tsv	place	aksum-obelisk-field	Aksum Obelisk Field	none		0	
archaeological-sites.tsv	place	al-ula-hegra-site	Hegra (Mada'in Salih)	none		0	
archaeological-sites.tsv	place	altamira-cave	Altamira	none		0	
archaeological-sites.tsv	place	angkor-wat-site	Angkor Wat	accepted	Q43473	1	Q43473
archaeological-sites.tsv	place	arles-roman-site	Roman Arles	none		0	
archaeological-sites.tsv	place	avebury-site	Avebury	accepted	Q661855	1	Q661855
archaeological-sites.tsv	place	axum-site	Axum	none		0	
archaeological-sites.tsv	place	baalbek-site	Baalbek	accepted	Q178835	1	Q178835
archaeological-sites.tsv	place	babylon-site	Babylon	ambiguous		2	Q5684 Q100329356
archaeological-sites.tsv	place	bagan-site	Bagan	accepted	Q29317	1	Q29317
archaeological-sites.tsv	place	bamiyan-buddhas	Bamiyan Buddhas	none		0	
archaeological-sites.tsv	place	ban-chiang-site	Ban Chiang	accepted	Q584125	1	Q584125
archaeological-sites.tsv	place	bath-roman-site	Roman Baths (Bath)	none		0	
archaeological-sites.tsv	place	benin-city-site	Benin City	none		0	
archaeological-sites.tsv	place	biskupin-site	Biskupin	accepted	Q866393	1	Q866393
archaeological-sites.tsv	place	borobudur-site	Borobudur	none		0	
archaeological-sites.tsv	place	broch-of-mousa	Broch of Mousa	none		0	
archaeological-sites.tsv	place	butrint-site	Butrint	accepted	Q188694	1	Q188694
archaeological-sites.tsv	place	byblos-site	Byblos	ambiguous		2	Q173532 Q20551645
archaeological-sites.tsv	place	cahokia-site	Cahokia	accepted	Q333661	1	Q333661
archaeological-sites.tsv	place	caral-site	Caral	none		0	
archaeological-sites.tsv	place	carnac-site	Carnac	none		0	
archaeological-sites.tsv	place	carthage-site	Carthage	accepted	Q6343	1	Q6343
archaeological-sites.tsv	place	catacomb-rome-site	Catacombs of Rome	accepted	Q741051	1	Q741051
archaeological-sites.tsv	place	catal-huyuk-west	Çatalhöyük West	none		0	
archaeological-sites.tsv	place	catalhoyuk-site	Çatalhöyük	accepted	Q192522	1	Q192522
archaeological-sites.tsv	place	chan-chan-site	Chan Chan	accepted	Q277540	1	Q277540
archaeological-sites.tsv	place	chauvet-cave	Chauvet Cave	accepted	Q374096	1	Q374096
archaeological-sites.tsv	place	chichen-itza-site	Chichén Itzá	none		0	
archaeological-sites.tsv	place	cidade-velha-site	Cidade Velha	none		0	
archaeological-sites.tsv	place	colosseum-site	Colosseum	accepted	Q10285	1	Q10285
archaeological-sites.tsv	place	copan-site	Copán	accepted	Q214827	1	Q214827
archaeological-sites.tsv	place	cueva-de-las-manos	Cueva de las Manos	accepted	Q223385	1	Q223385
archaeological-sites.tsv	place	delos-site	Delos	accepted	Q131911921	1	Q131911921
archaeological-sites.tsv	place	delphi-site	Delphi	ambiguous		2	Q75459 Q103917243
archaeological-sites.tsv	place	derinkuyu-site	Derinkuyu	none		0	
archaeological-sites.tsv	place	dolni-vestonice	Dolní Věstonice	accepted	Q2915044	1	Q2915044
archaeological-sites.tsv	place	easter-island-site	Easter Island (Rapa Nui)	none		0	
archaeological-sites.tsv	place	ebla-site	Ebla (Tell Mardikh)	none		0	
archaeological-sites.tsv	place	ellora-caves	Ellora Caves	accepted	Q189616	1	Q189616
archaeological-sites.tsv	place	ephesus-site	Ephesus	ambiguous		2	Q47611 Q64699469
archaeological-sites.tsv	place	fasil-ghebbi-site	Fasil Ghebbi	none		0	
archaeological-sites.tsv	place	giza-pyramids-site	Giza Pyramids	none		0	
archaeological-sites.tsv	place	gobekli-tepe-site	Göbekli Tepe	accepted	Q214944	1	Q214944
archaeological-sites.tsv	place	gobustan-site	Gobustan	none		0	
archaeological-sites.tsv	place	great-enclosure-khami	Khami Ruins	none		0	
archaeological-sites.tsv	place	great-wall-site	Great Wall (Badaling)	none		0	
archaeological-sites.tsv	place	great-zimbabwe-site	Great Zimbabwe	accepted	Q209217	1	Q209217
archaeological-sites.tsv	place	gyeongju-site	Gyeongju	none		0	
archaeological-sites.tsv	place	hadrians-wall-site	Hadrian's Wall	accepted	Q57357	1	Q57357
archaeological-sites.tsv	place	hagar-qim-site	Ħaġar Qim	accepted	Q343053	1	Q343053
archaeological-sites.tsv	place	hagia-sophia-site	Hagia Sophia	none		0	
archaeological-sites.tsv	place	hallstatt-site	Hallstatt	none		0	
archaeological-sites.tsv	place	hampi-site	Hampi	accepted	Q26732	1	Q26732
archaeological-sites.tsv	place	harappa-site	Harappa	accepted	Q185562	1	Q185562
archaeological-sites.tsv	place	hattusa-site	Hattuša	none		0	
archaeological-sites.tsv	place	heijo-palace-site	Heijō Palace	none		0	
archaeological-sites.tsv	place	herculaneum-site	Herculaneum	accepted	Q178813	1	Q178813
archaeological-sites.tsv	place	herodes-atticus-odeon	Odeon of Herodes Atticus	accepted	Q1328165	1	Q1328165
archaeological-sites.tsv	place	heuneburg-site	Heuneburg	accepted	Q428756	1	Q428756
archaeological-sites.tsv	place	himeji-castle-site	Himeji Castle	none		0	
archaeological-sites.tsv	place	ife-site	Ifẹ̀	none		0	
archaeological-sites.tsv	place	jennejeno-site	Jenné-jeno	none		0	
archaeological-sites.tsv	place	jericho-site	Jericho (Tell es-Sultan)	none		0	
archaeological-sites.tsv	place	jiahu-site	Jiahu	accepted	Q1688860	1	Q1688860
archaeological-sites.tsv	place	jiroft-site	Jiroft	none		0	
archaeological-sites.tsv	place	jomon-sannai-maruyama	Sannai-Maruyama	none		0	
archaeological-sites.tsv	place	karnak-temple-site	Karnak Temple	none		0	
archaeological-sites.tsv	place	khajuraho-site	Khajuraho	none		0	
archaeological-sites.tsv	place	kilwa-kisiwani-site	Kilwa Kisiwani	none		0	
archaeological-sites.tsv	place	knap-of-howar	Knap of Howar	accepted	Q1776885	1	Q1776885
archaeological-sites.tsv	place	knossos-site	Knossos	accepted	Q173527	1	Q173527
archaeological-sites.tsv	place	konark-sun-temple	Konark Sun Temple	none		0	
archaeological-sites.tsv	place	kuk-swamp-site	Kuk Swamp	accepted	Q1165562	1	Q1165562
archaeological-sites.tsv	place	la-tene-site	La Tène	accepted	Q176775	1	Q176775
archaeological-sites.tsv	place	la-venta-site	La Venta	ambiguous		7	Q913166 Q97604867 Q97619013 Q97622584 Q97635195 Q97645229 Q97645953
archaeological-sites.tsv	place	lalibela-site	Lalibela	none		0	
archaeological-sites.tsv	place	lanse-aux-meadows	L'Anse aux Meadows	accepted	Q189113	1	Q189113
archaeological-sites.tsv	place	lascaux-cave	Lascaux	accepted	Q172125	1	Q172125
archaeological-sites.tsv	place	lepenski-vir	Lepenski Vir	accepted	Q906669	1	Q906669
archaeological-sites.tsv	place	leptis-magna-site	Leptis Magna	accepted	Q191504	1	Q191504
archaeological-sites.tsv	place	longmen-grottoes	Longmen Grottoes	none		0	
archaeological-sites.tsv	place	luxor-temple-site	Luxor Temple	accepted	Q319841	1	Q319841
archaeological-sites.tsv	place	machu-picchu-site	Machu Picchu	accepted	Q676203	1	Q676203
archaeological-sites.tsv	place	mapungubwe-site	Mapungubwe	accepted	Q31405553	1	Q31405553
archaeological-sites.tsv	place	mehrgarh-site	Mehrgarh	accepted	Q242148	1	Q242148
archaeological-sites.tsv	place	meroe-site	Meroë	accepted	Q5780	1	Q5780
archaeological-sites.tsv	place	merv-site	Merv	accepted	Q193325	1	Q193325
archaeological-sites.tsv	place	mesa-verde-site	Mesa Verde	none		0	
archaeological-sites.tsv	place	mogao-caves	Mogao Caves	accepted	Q43286	1	Q43286
archaeological-sites.tsv	place	mohenjo-daro	Mohenjo-daro	accepted	Q5725	1	Q5725
archaeological-sites.tsv	place	monte-alban-site	Monte Albán	accepted	Q464899	1	Q464899
archaeological-sites.tsv	place	mungo-lake-site	Lake Mungo	none		0	
archaeological-sites.tsv	place	mycenae-site	Mycenae	ambiguous		2	Q132564 Q60791422
archaeological-sites.tsv	place	nalanda-site	Nalanda	none		0	
archaeological-sites.tsv	place	nazca-lines-site	Nazca Lines	accepted	Q2620036	1	Q2620036
archaeological-sites.tsv	place	newgrange-site	Newgrange	accepted	Q339503	1	Q339503
archaeological-sites.tsv	place	nineveh-site	Nineveh	ambiguous		2	Q5680 Q103917300
archaeological-sites.tsv	place	niya-site	Niya	accepted	Q1329268	1	Q1329268
archaeological-sites.tsv	place	nok-site	Nok	none		0	
archaeological-sites.tsv	place	olduvai-gorge	Olduvai Gorge	accepted	Q217043	1	Q217043
archaeological-sites.tsv	place	olympia-site	Olympia	ambiguous		2	Q38888 Q103922441
archaeological-sites.tsv	place	ostia-antica-site	Ostia Antica	none		0	
archaeological-sites.tsv	place	palenque-site	Palenque	accepted	Q181427	1	Q181427
archaeological-sites.tsv	place	palmyra-site	Palmyra	accepted	Q5747	1	Q5747
archaeological-sites.tsv	place	penjikent-site	Penjikent	none		0	
archaeological-sites.tsv	place	persepolis-site	Persepolis	accepted	Q129072	1	Q129072
archaeological-sites.tsv	place	petra-site	Petra	ambiguous		5	Q5788 Q1519037 Q56401736 Q60791311 Q132519157
archaeological-sites.tsv	place	pompeii-site	Pompeii	accepted	Q43332	1	Q43332
archaeological-sites.tsv	place	pompeii-villa-mysteries	Villa of the Mysteries	accepted	Q1241298	1	Q1241298
archaeological-sites.tsv	place	poverty-point-site	Poverty Point	accepted	Q964745	1	Q964745
archaeological-sites.tsv	place	pueblo-bonito-site	Pueblo Bonito	none		0	
archaeological-sites.tsv	place	samarkand-site	Samarkand	none		0	
archaeological-sites.tsv	place	samothrace-site	Samothrace Sanctuary	none		0	
archaeological-sites.tsv	place	sanchi-site	Sanchi	none		0	
archaeological-sites.tsv	place	sanxingdui-site	Sanxingdui	accepted	Q929072	1	Q929072
archaeological-sites.tsv	place	sarazm-site	Sarazm	accepted	Q422929	1	Q422929
archaeological-sites.tsv	place	serpent-mound-site	Serpent Mound	accepted	Q968802	1	Q968802
archaeological-sites.tsv	place	sigiriya-site	Sigiriya	none		0	
archaeological-sites.tsv	place	sipan-site	Sipán	none		0	
archaeological-sites.tsv	place	skara-brae-site	Skara Brae	accepted	Q816437	1	Q816437
archaeological-sites.tsv	place	spirit-cave-site	Spirit Cave	accepted	Q118985001	1	Q118985001
archaeological-sites.tsv	place	stonehenge-site	Stonehenge	accepted	Q39671	1	Q39671
archaeological-sites.tsv	place	sukhothai-site	Sukhothai	none		0	
archaeological-sites.tsv	place	sutton-hoo-site	Sutton Hoo	accepted	Q503256	1	Q503256
archaeological-sites.tsv	place	tabon-caves	Tabon Caves	accepted	Q477329	1	Q477329
archaeological-sites.tsv	place	takht-i-bahi-site	Takht-i-Bahi	accepted	Q117623	1	Q117623
archaeological-sites.tsv	place	tassili-najjer-site	Tassili n'Ajjer	accepted	Q190048	1	Q190048
archaeological-sites.tsv	place	taxila-site	Taxila	accepted	Q156093	1	Q156093
archaeological-sites.tsv	place	teotihuacan-site	Teotihuacán	none		0	
archaeological-sites.tsv	place	terracotta-army-site	Terracotta Army	accepted	Q47672	1	Q47672
archaeological-sites.tsv	place	thonis-heracleion	Thonis-Heracleion	none		0	
archaeological-sites.tsv	place	thulamela-site	Thulamela	accepted	Q2803449	1	Q2803449
archaeological-sites.tsv	place	tikal-site	Tikal	accepted	Q181172	1	Q181172
archaeological-sites.tsv	place	timbuktu-site	Timbuktu	none		0	
archaeological-sites.tsv	place	tiwanaku-site	Tiwanaku	accepted	Q61750	1	Q61750
archaeological-sites.tsv	place	troy-site	Troy (Hisarlik)	none		0	
archaeological-sites.tsv	place	twyfelfontein-site	Twyfelfontein	accepted	Q754791	1	Q754791
archaeological-sites.tsv	place	ugarit-site	Ugarit (Ras Shamra)	none		0	
archaeological-sites.tsv	place	ur-site	Ur	accepted	Q5699	1	Q5699
archaeological-sites.tsv	place	valley-of-kings	Valley of the Kings	ambiguous		2	Q133423 Q750107
archaeological-sites.tsv	place	vergina-site	Vergina (Aigai)	none		0	
archaeological-sites.tsv	place	vinca-site	Vinča	none		0	
archaeological-sites.tsv	place	vindolanda-site	Vindolanda	accepted	Q1233131	1	Q1233131
archaeological-sites.tsv	place	volubilis-site	Volubilis	accepted	Q391215	1	Q391215
archaeological-sites.tsv	place	xian-city-wall	Xi'an City Wall	none		0	
archaeological-sites.tsv	place	yin-xu-site	Yin Xu	none		0	
archaeological-sites.tsv	place	yoshinogari-site	Yoshinogari	none		0	
architectural-styles.tsv	art-tradition	arch-001	Egyptian Monumental	none		0	
architectural-styles.tsv	art-tradition	arch-002	Greek Classical	none		0	
architectural-styles.tsv	art-tradition	arch-003	Roman Imperial	none		0	
architectural-styles.tsv	art-tradition	arch-004	Byzantine	none		0	
architectural-styles.tsv	art-tradition	arch-005	Romanesque	none		0	
architectural-styles.tsv	art-tradition	arch-006	Gothic	none		0	
architectural-styles.tsv	art-tradition	arch-007	Islamic	none		0	
architectural-styles.tsv	art-tradition	arch-008	Indian Temple	none		0	
architectural-styles.tsv	art-tradition	arch-009	Chinese Traditional	none		0	
architectural-styles.tsv	art-tradition	arch-010	Japanese Traditional	none		0	
architectural-styles.tsv	art-tradition	arch-011	Mesoamerican	none		0	
architectural-styles.tsv	art-tradition	arch-012	Renaissance	none		0	
architectural-styles.tsv	art-tradition	arch-013	Baroque	accepted	Q37853	1	Q37853
architectural-styles.tsv	art-tradition	arch-014	Mughal	none		0	
architectural-styles.tsv	art-tradition	arch-015	Art Nouveau	accepted	Q34636	1	Q34636
architectural-styles.tsv	art-tradition	arch-016	Art Deco	none		0	
architectural-styles.tsv	art-tradition	arch-017	Modernist	none		0	
architectural-styles.tsv	art-tradition	arch-018	Khmer	none		0	
architectural-styles.tsv	art-tradition	arch-019	Sub-Saharan African	none		0	
architectural-styles.tsv	art-tradition	arch-020	Andean	none		0	
cooking-techniques.tsv	cooking-technique	al-dente	Al Dente Cooking	none		0	
cooking-techniques.tsv	cooking-technique	bacalhau-salting	Bacalhau Salt-Curing	none		0	
cooking-techniques.tsv	cooking-technique	banana-leaf-wrap	Banana Leaf Wrapping	none		0	
cooking-techniques.tsv	cooking-technique	banh-mi-baking	Bánh Mì Baking	none		0	
cooking-techniques.tsv	cooking-technique	bibimbap-assembly	Bibimbap Assembly	none		0	
cooking-techniques.tsv	cooking-technique	bigos-stewing	Bigos (Hunter's Stew)	none		0	
cooking-techniques.tsv	cooking-technique	bumbu-grinding	Bumbu Paste Grinding	none		0	
cooking-techniques.tsv	cooking-technique	cataplana-steaming	Cataplana Steaming	none		0	
cooking-techniques.tsv	cooking-technique	ceviche-curing	Ceviche Citrus Curing	none		0	
cooking-techniques.tsv	cooking-technique	cheese-stretching	Sulguni Stretching	none		0	
cooking-techniques.tsv	cooking-technique	coconut-cracking	Coconut Milk Extraction	none		0	
cooking-techniques.tsv	cooking-technique	confit-french	Confit	none		0	
cooking-techniques.tsv	cooking-technique	fermentation-miso	Miso Fermentation	none		0	
cooking-techniques.tsv	cooking-technique	grilling-greek	Souvlaki Grilling	none		0	
cooking-techniques.tsv	cooking-technique	injera-ferment	Injera Fermentation	none		0	
cooking-techniques.tsv	cooking-technique	kebab-grilling	Kebab Grilling	none		0	
cooking-techniques.tsv	cooking-technique	khoresh-braising	Khoresh Braising	none		0	
cooking-techniques.tsv	cooking-technique	kimchi-ferment	Kimchi Fermentation	none		0	
cooking-techniques.tsv	cooking-technique	mole-making	Mole Sauce Making	none		0	
cooking-techniques.tsv	cooking-technique	mortar-pounding	Mortar Pounding	none		0	
cooking-techniques.tsv	cooking-technique	nixtamalization	Nixtamalization	none		0	
cooking-techniques.tsv	cooking-technique	pachamanca-earth	Pachamanca Earth Oven	none		0	
cooking-techniques.tsv	cooking-technique	paella-socarrat	Paella Socarrat	none		0	
cooking-techniques.tsv	cooking-technique	pasta-making	Fresh Pasta Making	none		0	
cooking-techniques.tsv	cooking-technique	pho-broth	Phở Broth Simmering	none		0	
cooking-techniques.tsv	cooking-technique	phyllo-making	Phyllo Dough Making	none		0	
cooking-techniques.tsv	cooking-technique	pierogi-folding	Pierogi Folding	none		0	
cooking-techniques.tsv	cooking-technique	roux-hungarian	Rántás (Roux)	none		0	
cooking-techniques.tsv	cooking-technique	sauerkraut-ferment	Sauerkraut Fermentation	none		0	
cooking-techniques.tsv	cooking-technique	sauteing-french	Sautéing	none		0	
cooking-techniques.tsv	cooking-technique	smoking-german	Smoking (Räuchern)	none		0	
cooking-techniques.tsv	cooking-technique	sofrito-spanish	Sofrito	none		0	
cooking-techniques.tsv	cooking-technique	sous-vide	Sous Vide	none		0	
cooking-techniques.tsv	cooking-technique	steaming-chinese	Steaming	none		0	
